Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
England,England,,01/01/2020,44.7,36.8,41.7,34.3,,0,,6,,0.7,88.14,Clear
England,England,,01/02/2020,51.2,44.7,48.2,41.3,,0,,13.9,,0.8,85.63,Clear
England,England,,01/03/2020,51.2,42.2,47.7,36,,0.04,,18.3,32.2,0.5,80.15,"Rain, Clear"
England,England,,01/04/2020,47.6,39.3,44,33.2,,0,,14.2,,0.5,78.39,Clear
England,England,,01/05/2020,48.3,44,46.3,39.5,,0,,14.7,,0.8,80.07,Clear
England,England,,01/06/2020,47.6,44,46.1,38.1,,0.02,,14.5,,0.7,79.6,"Rain, Clear"
England,England,,01/07/2020,55.5,41.1,49,36.5,,0.02,,15.5,,0.4,89.64,"Rain, Clear"
England,England,,01/08/2020,55.5,50.1,53,,,0,,15.2,,0.6,83.93,Clear
England,England,,01/09/2020,55.7,44.9,52.7,39,,0.26,,19.8,35.8,0.5,84.07,"Rain, Clear"
England,England,,01/10/2020,45.8,42,44.1,36.8,,0.04,,12.9,,0.6,75.27,"Rain, Clear"
England,England,,01/11/2020,51.8,43.8,49.3,38.2,,0,,18.2,34.4,9.3,77.8,Clear
England,England,,01/12/2020,53,43.1,49.5,39.3,,0.09,,20,36.9,0.5,79.63,"Rain, Clear"
England,England,,01/13/2020,53.6,42.9,47.9,38.7,,0.01,,26.4,39.1,12.9,83.28,"Rain, Clear"
England,England,,01/14/2020,55.7,46.5,51,41.6,,0.32,,23.9,49.4,0.6,86.15,"Rain, Clear"
England,England,,01/15/2020,54.8,44,47.9,39.4,,0.44,,22.8,42.5,0.5,82.66,"Rain, Clear"
England,England,,01/16/2020,54.8,44,49.3,39.5,,0.01,,15,30,0.4,81.81,"Rain, Clear"
England,England,,01/17/2020,51.2,38.6,46.6,31.8,,0.43,,24.2,41.4,0.4,81.42,"Rain, Clear"
England,England,,01/18/2020,45.8,34.1,40,27.9,,0.01,,10,,0.1,79.17,"Rain, Clear"
England,England,,01/19/2020,45.8,34.8,39.8,32.4,,0,,7.5,,0,76.46,Clear
England,England,,01/20/2020,44.9,34.1,38.5,30.4,,0,,5.7,,0.1,82.65,Clear
England,England,,01/21/2020,44.9,31.4,36.9,26.4,,0,,5.8,,0.1,90.54,Clear
England,England,,01/22/2020,47.4,37.5,43.4,35.5,,0.02,,4.7,,0.8,90.94,"Rain, Clear"
England,England,,01/23/2020,46.7,44.9,46.3,44.3,,0,,4.7,,0.9,82.7,Clear
England,England,,01/24/2020,44.9,43.8,44.5,40.7,,0,,5.7,,0.9,86.72,Clear
England,England,,01/25/2020,44,42.2,43.3,37.8,,0,,8.6,,0.9,85.03,Clear
England,England,,01/26/2020,50.3,44,47.5,40.2,,0.08,,13.9,,0.6,87.61,"Rain, Clear"
England,England,,01/27/2020,49.2,41.1,45.8,37.7,,0.28,,10.3,,0.5,86.98,"Rain, Clear"
